SLTechnique,ScoringMethod,CorrelationScore,StructureScore
PC,chi_square,0.4571428571428572,-9682.56039764853
PC,pearsonr,0.3157894736842105,-10081.153799030186
PC,g_sq,0.36,-9940.999413513779
PC,log_likelihood,0.36,-9940.999413513779
PC,cressie_read,0.3404255319148936,-9913.021730626539
HillClimbSearch,BDeuScore,0.0,-9481.483039527271
HillClimbSearch,BicScore,0.5,-9436.554539324077
HillClimbSearch,K2Score,0.5263157894736842,-11573.204742229234
HillClimbSearch,BDsScore,0.0,-9481.483039527271
TreeSearch,tan,0.0,-9730.223259657587
TreeSearch,chow-liu,0.0,-9730.223259657587
